session_page_id,location_id,shared,dummy_mobile,dummy_desktop,shareability,nugget_pvs,prev_subscribe,prev_share_count,prev_pv_count,prev_sessions,avg_pvs_per_prev_session,delta_created,cur_pv_count
a3b2bd19942b900cecfee26bc5d0a689,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,0,0,0,0,1
719cbec7324c464278cc17d5029b1432,5612c871b5bb9b002900009e,shared,0,1,0.020838,683079,1,2,31,25,1.24,18047,1
21ec4ee18982de6e8d8f6f8627b28684,56143f4ef032f2002500002b,no_shared,0,1,0.023036771,34293,0,12,124,114,1.087719298,10591,2
3c1fe70611a61131c28ed3313a741747,55562edc656439000c670200,shared,0,1,0.025102016,8087,0,3,124,113,1.097345133,11324,1
7fe01f3fbef4a9e37522e7614116bb8a,557d9a8f326137002c130000,shared,1,0,0.025723323,192860,0,1,15,14,1.071428571,4764,2
3aaf70548dcaa8903d6d8bce766320d5,5615770c3b1fa8001800017a,no_shared,1,0,0.009950424,256170,0,0,0,0,0,0,1
5f62472d23fd2cf3dc14311c8afda8ee,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,0,0,0,0,1
dc319b5c3de126ef02a0817ef3a7a08e,5612c871b5bb9b002900009e,shared,1,0,0.020838,683079,0,0,0,0,0,0,1
2c14df199ce9f9a313ff8e0aef580602,55f322203031360025e60400,shared,0,1,0.016874487,26786,0,0,0,0,0,0,3
04242c9a52eeb51ea00caeb8b76db934,5612fb96b4d993003400002b,no_shared,1,0,0.022752554,332622,0,0,0,0,0,0,1
9fc8f9ddb75805eecdc2868f56e414b3,559abc79386530000cd80200,shared,1,0,0.012973354,204419,0,0,0,0,0,0,2
975a1fbc0e6faf17ab3944d6dd823757,5612c871b5bb9b002900009e,no_shared,1,0,0.020838,683079,0,3,83,70,1.185714286,5592,1
0d57d6d48ef86eb8c80c2efe57ffe0ee,55bb9a2e326562001a0e0000,shared,1,0,0.015428155,211302,0,1,17,14,1.214285714,1882,1
624e64d708d31bd83418449e675a9fc1,5612d6da48651400340000f8,no_shared,1,0,0.013626881,1051231,0,0,1,1,1,20,1
370b5e0da7ced5bb883bf512807ff3c6,5534037a34663300182a0000,shared,0,1,0.011509235,72116,0,0,0,0,0,0,1
352913078409abecc4fe4b1a46d3f7b4,55a67989363738002c4a0100,no_shared,0,1,0.018647201,62744,0,0,0,0,0,0,1
3b7353b6d58bab88f267e0ee42eb03d0,560afce8303437000d1d0000,no_shared,1,0,0.013549147,71296,0,0,13,10,1.3,2305,1
21abfa53dd3d6a5d6bc0701399e61f18,560afce8303437000d1d0000,no_shared,0,1,0.013549147,71296,0,0,0,0,0,0,1
f4b5fff9c79c82a1d179743b5cd9d7e8,5615770c3b1fa8001800017a,no_shared,0,1,0.009950424,256170,0,0,3,3,1,1465,1
932dfc0601e362ce1574d784dd63f726,5615770c3b1fa8001800017a,shared,1,0,0.009950424,256170,0,0,0,0,0,0,1
f10690af3595baf9d38f9db96716d341,55f322203031360025e60400,no_shared,0,0,0.016874487,26786,0,0,1,1,1,90,1
b1c396cc0c78ad6991a6dc0e4923e902,558c74ef613362002c740600,shared,1,0,0.018333459,66545,0,0,0,0,0,0,3
972850ab5d7a2ecc1ade040c66a1581a,5612bdb5b5bb9b001d000040,no_shared,1,0,0.00687324,690504,0,0,0,0,0,0,1
9b31c2030f986d4d2961b0a201117eca,55981a1d393861001c000000,no_shared,1,0,0.020134228,10877,0,0,2,2,1,260,2
e3af34413c280186241fbf871e99c250,561bc1cc16d6890030000075,shared,0,1,0.010291742,398572,0,0,6,6,1,1467,1
ac30d7e5363c1d00336ab019dbe84fee,561bf252baf18a002d00003d,shared,0,0,0.013347213,43230,0,0,27,26,1.038461538,3173,1
b8a0d86205a79fc38840657953ee5ec5,5612c871b5bb9b002900009e,shared,1,0,0.020838,683079,0,0,0,0,0,0,1
2769d07e1b7c8c28e1e138dad6b21399,5612c871b5bb9b002900009e,shared,1,0,0.020838,683079,0,0,1,1,1,240,1
18dfef8b16ac2e4c4cd866a6307a356c,559dd38c636261000c120000,no_shared,1,0,0.01551481,15598,0,0,0,0,0,0,1
25a49e1adac65f945384d94e9abf66e4,5463f24f7de4fabe45000015,shared,0,1,0.016093636,1367,0,0,33,33,1,2952,1
12f15f6b507227c85a244c08d21e5a9f,55f2fa7b6535360029600100,shared,1,0,0.010164236,310894,0,0,0,0,0,0,1
c8e6e61b97766fc3d37ff4ec95824feb,54f0cf75303664000c520000,no_shared,0,0,0.011128668,946115,0,0,0,0,0,0,1
dfe49524938f5e35c17c1da00b3ca16b,560d5f7c3861310025140400,shared,0,1,0.030665716,161255,0,0,0,0,0,0,1
5f96f58c2380ad97cfcc7ad10a3c7582,5617d30d6530d400330000f3,no_shared,1,0,0.012070899,83838,0,0,11,11,1,2976,1
0afc9005c9edf52d39441d3cbd9ca075,561bc1cc16d6890030000075,shared,1,0,0.010291742,398572,0,0,0,0,0,0,1
27729a1b7b8e77adf98d151e81e86d37,55de4a4f396636001aff0100,no_shared,1,0,0.039041649,64444,0,0,0,0,0,0,1
3762f4346e700f959a19c5a0a31cb84d,55ca19b6646161000dd80800,shared,0,1,0.016224042,20032,0,0,4,3,1.333333333,1275,1
ebb1c0a9bc426f81d40e74575ed33a8c,559e98a2326364002c8d0000,shared,1,0,0.018430234,37547,0,0,1,1,1,1117,1
d0672fe5fb3ab20eeb6aeb05b225f60e,54f0cf75303664000c520000,no_shared,1,0,0.011128668,946115,0,0,1,1,1,85,1
878ad5e99499c1e3ed193c336af64a96,53ebaac46a2eb5afce000031,no_shared,1,0,0.011053055,9952,0,0,0,0,0,0,1
6aa18fbc33092385cbe8279b32081824,561821cd279f6d002900000a,no_shared,0,1,0.016107016,10989,0,0,21,18,1.166666667,7307,1
5e2c7a7e103d251bbe8fdda90cbc947f,560afce8303437000d1d0000,shared,1,0,0.013549147,71296,0,0,0,0,0,0,1
8266557a3f64f83e6875ad8f767d1c84,55899322623637001cbc0200,no_shared,1,0,0.018459186,116419,0,0,0,0,0,0,1
81d9a5b85ddcd25c9b2272f8be078bac,54f0cf75303664000c520000,no_shared,1,0,0.011128668,946115,0,0,0,0,0,0,1
f27004b2de7b123fa6bb0e651e56d2cb,55a81d13396664002cfc0300,no_shared,0,1,0.017594171,110889,0,0,0,0,0,0,1
f8af5e85f70871200b4b4422bd146006,561e7c239fa9c10023000118,shared,1,0,0.013746576,98570,0,0,0,0,0,0,0
e4154c4d9b295c6436afc5f4331a0597,5499b234363163001ebb0000,shared,0,1,0.019526869,19614,0,0,0,0,0,0,1
1c7b460d0e4c7eb9699b1fad2c320ad0,561816c6abe26f00300000af,no_shared,1,0,0.016489182,135786,0,0,0,0,0,0,1
755d2ed5d65a59059f86f875a7c5dc16,55954bc5653264002c050100,shared,1,0,0.015211221,183220,0,0,1,1,1,971,1
0673e037f5800538db28f3624e08ffef,561ec585c11f5500240002a8,no_shared,1,0,0.011031818,186370,0,0,10,10,1,1619,1
603180e7155e3f33f076f5a23f8fa4d4,55cb4d82306265001a500300,shared,1,0,0.01534893,55183,0,1,17,16,1.0625,3285,3
25f3e33b359f2f9c709477223fd4a827,560e6bbbb2b9710022000070,no_shared,1,0,0.006592957,156379,0,0,24,22,1.090909091,7402,1
3cd4af88323ea48bed5c869e81d0d6d1,560d83521b74310026000009,no_shared,0,1,0.013498419,85047,0,0,0,0,0,0,1
95f69c1b053f2500a33517489c427605,55d22e79373034000d430300,shared,1,0,0.018387615,68470,0,1,2,1,2,343,1
005f69fdfd8a1b0f21ee59a7377a8d6f,557d9a8f326137002c130000,shared,1,0,0.025723323,192860,0,0,0,0,0,0,1
140821371afefd86aaea73612bf4bc01,55e8a42d613332000de00200,no_shared,1,0,0.020672921,61820,0,0,59,55,1.072727273,6876,1
f3eaec69776ccc53a425c144fd978b06,561e821ac11f55001e000146,no_shared,1,0,0.015859739,124340,0,0,22,23,0.956521739,6956,1
c5f185ef5d3fddc2064b29d61dc872fe,561e5ef09fa9c1001b000061,shared,0,0,0.011763101,29329,0,0,0,0,0,0,1
4ad005d14db2f42dd90e9a5da995880d,561e821ac11f55001e000146,no_shared,1,0,0.015859739,124340,0,0,1,1,1,1367,1
1c24a4a85e8f2f9765c0c7ffb5bad7e8,562153f79efda2002a0002c7,no_shared,0,1,0.026014526,635568,0,0,0,0,0,0,2
2a6c6e45cf6d70a9bd2c8cfd97a0b016,561ea1369fa9c100270001f3,shared,1,0,0.021255205,203903,0,1,4,4,1,1431,4
f8f185f9ed22678f004c65f31f8fc2b3,560afce8303437000d1d0000,shared,0,1,0.013549147,71296,0,4,32,29,1.103448276,2660,2
9f861cd3793fb6392afcb32d7271a8ec,561e56809fa9c10027000049,no_shared,1,0,0.009914544,316303,0,0,0,0,0,0,1
cbe08f25d24b2f632156a5e5305ce4a2,562153f79efda2002a0002c7,shared,1,0,0.026014526,635568,0,0,0,0,0,0,1
d9d02b01f493ded49d24b28d0c51fddd,561b552e16d6890032000042,no_shared,0,0,0.008653155,315723,0,0,0,0,0,0,1
